Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,Week,Status,Total Volume,California,Chile,Mexico,Peru,Colombia
2015-01-04,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0.0,conventional,2015,Albany,"Jan 5, 2020",Actual,"32,537,444","37,220","159,041","32,291,182",0,"50,000"
2015-01-11,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,conventional,2015,Albany,"Jan 12, 2020",Actual,"65,307,572","319,866","177,780","64,809,925",0,0
2015-01-18,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0.0,conventional,2015,Albany,"Jan 19, 2020",Actual,"76,375,629","1,604,707","222,755","74,498,167",0,"50,000"
2015-01-25,1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0.0,conventional,2015,Albany,"Jan 26, 2020",Actual,"66,647,112","2,822,485",0,"63,774,627",0,"50,000"
2015-02-01,0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0.0,conventional,2015,Albany,"Feb 2, 2020",Actual,"45,414,983","2,704,489",0,"42,710,494",0,0
2015-02-08,0.99,51253.97,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0.0,conventional,2015,Albany,"Feb 9, 2020",Actual,"29,476,898","2,489,304",0,"26,987,593",0,0
2015-02-15,1.06,41567.62,986.66,30045.51,222.42,10313.03,9979.87,333.16,0.0,conventional,2015,Albany,"Feb 16, 2020",Actual,"50,713,581","5,257,159",0,"45,456,422",0,0
2015-02-22,1.07,45675.05,1088.38,35056.13,151.0,9379.54,9000.16,379.38,0.0,conventional,2015,Albany,"Feb 23, 2020",Actual,"60,175,473","6,454,635",0,"53,720,838",0,0
2015-03-01,0.99,55595.74,629.46,45633.34,181.49,9151.45,8986.06,165.39,0.0,conventional,2015,Albany,"Mar 1, 2020",Actual,"56,195,818","9,785,442",0,"46,410,376",0,0
2015-03-08,1.07,40507.36,795.68,30370.64,159.05,9181.99,8827.55,354.44,0.0,conventional,2015,Albany,"Mar 8, 2020",Actual,"47,119,478","8,249,788",0,"38,869,689",0,0
2015-03-15,1.11,43045.79,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0.0,conventional,2015,Albany,"Mar 15, 2020",Actual,"48,039,847","3,868,964",0,"44,120,882","50,000",0
2015-03-22,1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0.0,conventional,2015,Albany,"Mar 22, 2020",Actual,"54,765,620","8,086,208",0,"46,679,412",0,0
2015-03-29,1.02,67799.08,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0.0,conventional,2015,Albany,"Mar 29, 2020",Actual,"36,225,538","8,323,661",0,"27,901,876",0,0
2015-04-05,1.16,47362.13,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany,"Apr 5, 2020",Actual,"24,392,863","7,933,743",0,"16,174,674","284,446",0
2015-04-12,1.13,48364.29,864.27,30374.15,21.5,17104.37,16438.49,665.88,0.0,conventional,2015,Albany,"Apr 12, 2020",Actual,"24,945,091","3,115,152",0,"21,687,715","142,223",0
2015-04-19,1.19,49064.73,774.15,33941.51,47.15,14301.92,13602.97,698.95,0.0,conventional,2015,Albany,"Apr 19, 2020",Actual,"65,731,766","15,741,055",0,"49,706,264","284,446",0
2015-04-26,1.22,49585.46,875.65,35841.75,89.62,12778.44,12076.83,701.61,0.0,conventional,2015,Albany,"Apr 26, 2020",Actual,"70,861,471","16,932,573",0,"53,786,674","142,223",0
2015-05-03,1.2,59197.67,919.87,45490.05,217.24,12570.51,12201.95,368.56,0.0,conventional,2015,Albany,"May 3, 2020",Actual,"57,343,819","17,453,801",0,"39,463,348","426,669",0
2015-05-10,1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0.0,conventional,2015,Albany,"May 10, 2020",Actual,"68,814,562","17,353,081",0,"50,608,141","853,338",0
2015-05-17,1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0.0,conventional,2015,Albany,"May 17, 2020",Actual,"54,720,342","14,715,907",0,"38,724,426","1,280,008",0
2015-05-24,1.19,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,0.0,conventional,2015,Albany,"May 24, 2020",Actual,"51,932,040","16,615,963",0,"33,372,360","1,943,716",0
2015-05-31,1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0.0,conventional,2015,Albany,"May 31, 2020",Actual,"51,620,045","11,861,004",0,"35,634,569","4,124,471",0
2015-06-07,1.07,122743.06,656.71,99220.82,90.32,22775.21,22314.99,460.22,0.0,conventional,2015,Albany,"Jun 7, 2020",Actual,"53,894,696","12,247,478",0,"33,956,728","7,690,489",0
2015-06-14,1.32,89631.3,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0.0,conventional,2015,Albany,"Jun 14, 2020",Actual,"64,102,161","13,344,459",0,"39,424,664","11,283,036","50,000"
2015-06-21,1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662.0,213.65,0.0,conventional,2015,Albany,"Jun 21, 2020",Actual,"67,106,703","13,754,827",0,"39,545,860","13,606,015","200,000"
2015-06-28,1.37,89534.81,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0.0,conventional,2015,Albany,"Jun 28, 2020",Actual,"66,311,549","15,228,590",0,"35,035,819","15,597,139","450,000"
2015-07-05,1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0.0,conventional,2015,Albany,"Jul 5, 2020",Actual,"55,799,825","11,780,040",0,"26,616,471","17,203,312","200,000"
2015-07-12,1.05,124055.31,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany,"Jul 12, 2020",Actual,"52,067,279","11,391,217",0,"25,273,369","15,312,693","90,000"
2015-07-19,1.26,96617.0,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0.0,conventional,2015,Albany,"Jul 19, 2020",Projection,"61,839,558","13,152,000",0,"30,435,586","18,251,971",0
2015-07-26,1.11,106757.1,648.75,91949.05,966.61,13192.69,13061.53,131.16,0.0,conventional,2015,Albany,"Jul 26, 2020",Projection,"55,788,296","10,454,100",0,"28,172,602","17,161,594",0
2015-08-02,1.45,75133.1,509.94,62035.06,741.08,11847.02,11768.52,78.5,0.0,conventional,2015,Albany,"Aug 2, 2020",Projection,"54,124,687","9,841,800",0,"28,315,967","15,966,919",0
2015-08-09,1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,109.55,0.0,conventional,2015,Albany,"Aug 9, 2020",Projection,"59,806,118","11,100,800",0,"33,108,178","15,597,139",0
2015-08-16,1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0.0,conventional,2015,Albany,"Aug 16, 2020",Projection,"53,131,453","10,318,200",0,"32,193,923","10,619,328",0
2015-08-23,1.34,79992.09,733.16,67933.79,444.78,10880.36,10745.79,134.57,0.0,conventional,2015,Albany,"Aug 23, 2020",Projection,"49,747,599","9,699,000",0,"30,834,909","9,213,690",0
2015-08-30,1.07,105693.84,689.01,94362.67,335.43,10306.73,10218.93,87.8,0.0,conventional,2015,Albany,"Aug 30, 2020",Projection,"46,665,431","8,150,700",0,"30,953,200","7,561,531",0
2015-09-06,1.11,99172.96,879.45,90062.62,240.79,7990.1,7762.87,227.23,0.0,conventional,2015,Albany,"Sep 6, 2020",Projection,"53,902,262","9,371,200",0,"39,908,809","4,622,252",0
2015-09-13,1.28,76111.27,985.73,65696.86,142.0,9286.68,8665.19,621.49,0.0,conventional,2015,Albany,"Sep 13, 2020",Projection,"50,545,500","5,709,800",0,"42,038,645","2,797,055",0
2015-09-20,1.33,69759.01,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0.0,conventional,2015,Albany,"Sep 20, 2020",Projection,"46,114,806","5,713,300",0,"38,230,232","2,171,273",0
2015-09-27,0.99,106803.39,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0.0,conventional,2015,Albany,"Sep 27, 2020",Projection,"46,026,715","4,770,600",0,"39,407,213","1,848,901",0
2015-10-04,1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0.0,conventional,2015,Albany,"Oct 4, 2020",Projection,"44,448,182","1,507,100",0,"41,234,403","1,706,677",0
2015-10-11,1.28,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0.0,conventional,2015,Albany,"Oct 11, 2020",Projection,"40,067,203","893,900",0,"39,078,487","94,815",0
2015-10-18,1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0.0,conventional,2015,Albany,"Oct 18, 2020",Projection,"43,392,378","396,000",0,"42,996,377",0,0
2015-10-25,1.07,74338.76,842.4,64757.44,113.0,8625.92,8061.47,564.45,0.0,conventional,2015,Albany,"Oct 25, 2020",Projection,"50,057,064","388,300",0,"49,668,764",0,0
2015-11-01,1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0.0,conventional,2015,Albany,"Nov 1, 2020",Projection,"224,100","224,100",0,0,0,0
2015-11-08,0.98,109428.33,703.75,101815.36,80.0,6829.22,6266.85,562.37,0.0,conventional,2015,Albany,"Nov 8, 2020",Projection,0,0,0,0,0,0
2015-11-15,0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0.0,conventional,2015,Albany,"Nov 15, 2020",Projection,0,0,0,0,0,0
2015-11-22,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0.0,conventional,2015,Albany,"Nov 22, 2020",Projection,0,0,0,0,0,0
2015-11-29,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0.0,conventional,2015,Albany,"Nov 29, 2020",Projection,0,0,0,0,0,0
2015-12-06,1.08,78992.15,1132.0,71976.41,72.58,5811.16,5677.4,133.76,0.0,conventional,2015,Albany,"Dec 6, 2020",Projection,0,0,0,0,0,0
2015-12-13,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0.0,conventional,2015,Albany,"Dec 13, 2020",Projection,0,0,0,0,0,0
2015-12-20,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0.0,conventional,2015,Albany,"Dec 20, 2020",Projection,0,0,0,0,0,0
2015-12-27,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0.0,conventional,2015,Albany,"Dec 27, 2020",Projection,0,0,0,0,0,0
